"NOTE_ID","MAX_VISIBILITY","IS_AAA_FEEDBACK","AAA_STATUS","NOTE_TYPE","TEST_PERIOD","BATTERY_GROUP","BATTERY_ID","BATTERY_STATUS"
5112,2,0,"","TRAINEE",1,2100,5362,"EMPLOYED"
5113,2,0,"","TRAINEE",1,2100,5452,"DROPPED"
5114,2,0,"","TRAINEE",1,2100,5363,"EMPLOYED"
5115,2,0,"","TRAINEE",1,2100,5401,"EMPLOYED"
5116,2,0,"","TRAINEE",1,2100,5361,"EMPLOYED"
5117,2,0,"","TRAINEE",1,2100,5450,"DROPPED"
5118,2,0,"","TRAINEE",1,2100,5453,"DROPPED"
5119,2,0,"","TRAINEE",1,2100,5402,"EMPLOYED"
5120,2,0,"","TRAINEE",1,2100,5455,"EMPLOYED"
5121,2,0,"","TRAINEE",1,2100,5451,"DROPPED"
5122,2,0,"","TRAINEE",2,2100,5400,"EMPLOYED"
5123,2,0,"","TRAINEE",2,2100,5454,"DROPPED"
5124,2,0,"","TRAINEE",2,2100,5360,"EMPLOYED"
5125,2,0,"","TRAINEE",2,2100,5362,"EMPLOYED"
5126,2,0,"","TRAINEE",2,2100,5363,"EMPLOYED"
5127,2,0,"","TRAINEE",2,2100,5401,"EMPLOYED"
5128,2,0,"","TRAINEE",2,2100,5361,"EMPLOYED"
5129,2,0,"","TRAINEE",2,2100,5450,"DROPPED"
5130,2,0,"","TRAINEE",2,2100,5453,"DROPPED"
5131,2,0,"","TRAINEE",2,2100,5402,"EMPLOYED"
5132,2,0,"","TRAINEE",2,2100,5455,"EMPLOYED"
5050,2,0,"","TRAINEE",1,2050,5358,"DROPPED"
5134,2,0,"","TRAINEE",3,2100,5400,"EMPLOYED"
5135,2,0,"","TRAINEE",3,2100,5454,"DROPPED"
5136,2,0,"","TRAINEE",3,2100,5360,"EMPLOYED"
5137,2,0,"","TRAINEE",3,2100,5362,"EMPLOYED"
5138,2,0,"","TRAINEE",3,2100,5363,"EMPLOYED"
5139,2,0,"","TRAINEE",3,2100,5401,"EMPLOYED"
5140,2,0,"","TRAINEE",3,2100,5361,"EMPLOYED"
5141,2,0,"","TRAINEE",3,2100,5450,"DROPPED"
5142,2,0,"","TRAINEE",3,2100,5453,"DROPPED"
5143,2,0,"","TRAINEE",3,2100,5402,"EMPLOYED"
5144,2,0,"","TRAINEE",3,2100,5455,"EMPLOYED"
5145,2,0,"","TRAINEE",4,2100,5400,"EMPLOYED"
5146,2,0,"","TRAINEE",4,2100,5454,"DROPPED"
5147,2,0,"","TRAINEE",4,2100,5360,"EMPLOYED"
5148,2,0,"","TRAINEE",4,2100,5362,"EMPLOYED"
5149,2,0,"","TRAINEE",4,2100,5363,"EMPLOYED"
5150,2,0,"","TRAINEE",4,2100,5401,"EMPLOYED"
5151,2,0,"","TRAINEE",4,2100,5361,"EMPLOYED"
5152,2,0,"","TRAINEE",4,2100,5450,"DROPPED"
5153,2,0,"","TRAINEE",4,2100,5453,"DROPPED"
5154,2,0,"","TRAINEE",4,2100,5402,"EMPLOYED"
5155,2,0,"","TRAINEE",4,2100,5455,"EMPLOYED"
5156,2,0,"","TRAINEE",5,2100,5400,"EMPLOYED"
5157,2,0,"","TRAINEE",5,2100,5454,"DROPPED"
5158,2,0,"","TRAINEE",5,2100,5360,"EMPLOYED"
5159,2,0,"","TRAINEE",5,2100,5362,"EMPLOYED"
5160,2,0,"","TRAINEE",5,2100,5363,"EMPLOYED"
5161,2,0,"","TRAINEE",5,2100,5401,"EMPLOYED"
5162,2,0,"","TRAINEE",5,2100,5361,"EMPLOYED"
5163,2,0,"","TRAINEE",5,2100,5450,"DROPPED"
5164,2,0,"","TRAINEE",5,2100,5453,"DROPPED"
5165,2,0,"","TRAINEE",5,2100,5402,"EMPLOYED"
5166,2,0,"","TRAINEE",5,2100,5455,"EMPLOYED"
5202,2,0,"","TRAINEE",2,2150,5459,"EMPLOYED"
5203,2,0,"","TRAINEE",2,2150,5467,"EMPLOYED"
5204,2,0,"","TRAINEE",2,2150,5457,"EMPLOYED"
5205,2,0,"","TRAINEE",2,2150,5469,"DROPPED"
5206,2,0,"","TRAINEE",2,2150,5462,"EMPLOYED"
5207,2,0,"","TRAINEE",2,2150,5470,"DROPPED"
5208,2,0,"","TRAINEE",2,2150,5463,"EMPLOYED"
5209,2,0,"","TRAINEE",2,2150,5466,"EMPLOYED"
5210,2,0,"","TRAINEE",2,2150,5461,"EMPLOYED"
5211,2,0,"","TRAINEE",2,2150,5468,"DROPPED"
5212,2,0,"","TRAINEE",2,2150,5456,"EMPLOYED"
5213,2,0,"","TRAINEE",2,2150,5464,"EMPLOYED"
5214,2,0,"","TRAINEE",2,2150,5458,"EMPLOYED"
5218,2,0,"","TRAINEE",3,2150,5463,"EMPLOYED"
5219,2,0,"","TRAINEE",3,2150,5473,"DROPPED"
5220,2,0,"","TRAINEE",3,2150,5461,"EMPLOYED"
5221,2,0,"","TRAINEE",3,2150,5457,"EMPLOYED"
5222,2,0,"","TRAINEE",3,2150,5460,"EMPLOYED"
5223,2,0,"","TRAINEE",3,2150,5456,"EMPLOYED"
5224,2,0,"","TRAINEE",3,2150,5458,"EMPLOYED"
5225,2,0,"","TRAINEE",3,2150,5465,"EMPLOYED"
5227,2,0,"","TRAINEE",2,2150,5540,"TRAINING"
6053,2,0,"","TRAINEE",4,2150,5468,"DROPPED"
6054,2,0,"","TRAINEE",5,2150,5463,"EMPLOYED"
6068,2,0,"","TRAINEE",6,2150,5468,"DROPPED"
6069,2,0,"","TRAINEE",6,2150,5463,"EMPLOYED"
6070,2,0,"","TRAINEE",6,2150,5461,"EMPLOYED"
6071,2,0,"","TRAINEE",6,2150,5457,"EMPLOYED"
6072,2,0,"","TRAINEE",6,2150,5460,"EMPLOYED"
6073,2,0,"","TRAINEE",6,2150,5456,"EMPLOYED"
6074,2,0,"","TRAINEE",6,2150,5458,"EMPLOYED"
6075,2,0,"","TRAINEE",6,2150,5465,"EMPLOYED"
6076,2,0,"","TRAINEE",6,2150,5466,"EMPLOYED"
6077,2,0,"","TRAINEE",6,2150,5467,"EMPLOYED"
6078,2,0,"","TRAINEE",6,2150,5459,"EMPLOYED"
6079,2,0,"","TRAINEE",6,2150,5464,"EMPLOYED"
6080,2,0,"","TRAINEE",6,2150,5462,"EMPLOYED"
6081,2,0,"","TRAINEE",6,2150,5540,"TRAINING"
6360,1,1,"Poor","QC_TRAINEE",1,2201,5535,"EMPLOYED"
6361,1,1,"Superstar","QC_TRAINEE",1,2201,5534,"EMPLOYED"
6362,1,1,"Average","QC_TRAINEE",1,2201,5531,"TRAINING"
6363,1,1,"Average","QC_TRAINEE",1,2201,5536,"EMPLOYED"
6364,1,1,"Average","QC_TRAINEE",1,2201,5529,"EMPLOYED"
6365,1,1,"Good","QC_TRAINEE",1,2201,5525,"EMPLOYED"
6366,1,1,"Average","QC_TRAINEE",1,2201,5527,"EMPLOYED"
6367,1,1,"Average","QC_TRAINEE",1,2201,5528,"EMPLOYED"
6368,1,1,"Good","QC_TRAINEE",1,2201,5533,"EMPLOYED"
6370,1,1,"Superstar","QC_TRAINEE",2,2201,5534,"EMPLOYED"
6371,1,1,"Good","QC_TRAINEE",1,2201,5522,"DROPPED"
6082,2,0,"","TRAINEE",7,2150,5463,"EMPLOYED"
6083,2,0,"","TRAINEE",7,2150,5461,"EMPLOYED"
6084,2,0,"","TRAINEE",7,2150,5457,"EMPLOYED"
6085,2,0,"","TRAINEE",7,2150,5460,"EMPLOYED"
6086,2,0,"","TRAINEE",7,2150,5456,"EMPLOYED"
6087,2,0,"","TRAINEE",7,2150,5458,"EMPLOYED"
6088,2,0,"","TRAINEE",7,2150,5465,"EMPLOYED"
6089,2,0,"","TRAINEE",7,2150,5466,"EMPLOYED"
6090,2,0,"","TRAINEE",7,2150,5467,"EMPLOYED"
6091,2,0,"","TRAINEE",7,2150,5459,"EMPLOYED"
6092,2,0,"","TRAINEE",7,2150,5464,"EMPLOYED"
6093,2,0,"","TRAINEE",7,2150,5462,"EMPLOYED"
6094,2,0,"","TRAINEE",7,2150,5540,"TRAINING"
6095,2,0,"","TRAINEE",1,2200,5506,"EMPLOYED"
6096,2,0,"","TRAINEE",1,2200,5503,"EMPLOYED"
6097,2,0,"","TRAINEE",1,2200,5518,"DROPPED"
6098,2,0,"","TRAINEE",1,2200,5514,"EMPLOYED"
6099,2,0,"","TRAINEE",1,2200,5510,"EMPLOYED"
6100,2,0,"","TRAINEE",1,2200,5504,"EMPLOYED"
6101,2,0,"","TRAINEE",1,2200,5511,"EMPLOYED"
6102,2,0,"","TRAINEE",1,2200,5513,"EMPLOYED"
6103,2,0,"","TRAINEE",1,2200,5507,"EMPLOYED"
6104,2,0,"","TRAINEE",1,2200,5515,"EMPLOYED"
6105,2,0,"","TRAINEE",1,2200,5509,"EMPLOYED"
6106,2,0,"","TRAINEE",1,2200,5517,"EMPLOYED"
6107,2,0,"","TRAINEE",1,2200,5512,"EMPLOYED"
6108,2,0,"","TRAINEE",1,2200,5519,"DROPPED"
6109,2,0,"","TRAINEE",1,2200,5505,"EMPLOYED"
6110,2,0,"","TRAINEE",1,2200,5508,"EMPLOYED"
6111,2,0,"","TRAINEE",1,2200,5516,"EMPLOYED"
6112,2,0,"","TRAINEE",2,2200,5506,"EMPLOYED"
6113,2,0,"","TRAINEE",2,2200,5503,"EMPLOYED"
6114,2,0,"","TRAINEE",2,2200,5514,"EMPLOYED"
6115,2,0,"","TRAINEE",2,2200,5510,"EMPLOYED"
6116,2,0,"","TRAINEE",2,2200,5504,"EMPLOYED"
6117,2,0,"","TRAINEE",2,2200,5511,"EMPLOYED"
6118,2,0,"","TRAINEE",2,2200,5513,"EMPLOYED"
6119,2,0,"","TRAINEE",2,2200,5507,"EMPLOYED"
6120,2,0,"","TRAINEE",2,2200,5515,"EMPLOYED"
6121,2,0,"","TRAINEE",2,2200,5509,"EMPLOYED"
6122,2,0,"","TRAINEE",2,2200,5517,"EMPLOYED"
6123,2,0,"","TRAINEE",2,2200,5512,"EMPLOYED"
6124,2,0,"","TRAINEE",2,2200,5519,"DROPPED"
6125,2,0,"","TRAINEE",2,2200,5505,"EMPLOYED"
6126,2,0,"","TRAINEE",2,2200,5508,"EMPLOYED"
6127,2,0,"","TRAINEE",2,2200,5516,"EMPLOYED"
6235,2,0,"","TRAINEE",1,2201,5524,"EMPLOYED"
6236,2,0,"","TRAINEE",1,2201,5539,"EMPLOYED"
6237,2,0,"","TRAINEE",1,2201,5525,"EMPLOYED"
6238,2,0,"","TRAINEE",1,2201,5527,"EMPLOYED"
6239,2,0,"","TRAINEE",1,2201,5538,"EMPLOYED"
6240,2,0,"","TRAINEE",1,2201,5532,"EMPLOYED"
6241,2,0,"","TRAINEE",1,2201,5536,"EMPLOYED"
6242,2,0,"","TRAINEE",1,2201,5529,"EMPLOYED"
6243,2,0,"","TRAINEE",1,2201,5522,"DROPPED"
6244,2,0,"","TRAINEE",1,2201,5528,"EMPLOYED"
6245,2,0,"","TRAINEE",1,2201,5526,"EMPLOYED"
6246,2,0,"","TRAINEE",1,2201,5534,"EMPLOYED"
6247,2,0,"","TRAINEE",1,2201,5530,"EMPLOYED"
6248,2,0,"","TRAINEE",1,2201,5531,"TRAINING"
6249,2,0,"","TRAINEE",1,2201,5535,"EMPLOYED"
6250,2,0,"","TRAINEE",1,2201,5521,"DROPPED"
6251,2,0,"","TRAINEE",1,2201,5533,"EMPLOYED"
6252,2,0,"","TRAINEE",1,2201,5537,"EMPLOYED"
6271,2,0,"","TRAINEE",3,2201,5524,"EMPLOYED"
6272,2,0,"","TRAINEE",3,2201,5539,"EMPLOYED"
6273,2,0,"","TRAINEE",3,2201,5525,"EMPLOYED"
6274,2,0,"","TRAINEE",3,2201,5527,"EMPLOYED"
6275,2,0,"","TRAINEE",3,2201,5538,"EMPLOYED"
6276,2,0,"","TRAINEE",3,2201,5532,"EMPLOYED"
6277,2,0,"","TRAINEE",3,2201,5536,"EMPLOYED"
6278,2,0,"","TRAINEE",3,2201,5529,"EMPLOYED"
6279,2,0,"","TRAINEE",3,2201,5522,"DROPPED"
6280,2,0,"","TRAINEE",3,2201,5528,"EMPLOYED"
6281,2,0,"","TRAINEE",3,2201,5526,"EMPLOYED"
6282,2,0,"","TRAINEE",3,2201,5534,"EMPLOYED"
6283,2,0,"","TRAINEE",3,2201,5530,"EMPLOYED"
6284,2,0,"","TRAINEE",3,2201,5531,"TRAINING"
6285,2,0,"","TRAINEE",3,2201,5535,"EMPLOYED"
6286,2,0,"","TRAINEE",3,2201,5521,"DROPPED"
6287,2,0,"","TRAINEE",3,2201,5533,"EMPLOYED"
6288,2,0,"","TRAINEE",3,2201,5537,"EMPLOYED"
6146,2,0,"","TRAINEE",4,2200,5514,"EMPLOYED"
6147,2,0,"","TRAINEE",4,2200,5510,"EMPLOYED"
6148,2,0,"","TRAINEE",4,2200,5504,"EMPLOYED"
6149,2,0,"","TRAINEE",4,2200,5511,"EMPLOYED"
6150,2,0,"","TRAINEE",4,2200,5513,"EMPLOYED"
6151,2,0,"","TRAINEE",4,2200,5507,"EMPLOYED"
6152,2,0,"","TRAINEE",4,2200,5515,"EMPLOYED"
6153,2,0,"","TRAINEE",4,2200,5509,"EMPLOYED"
6154,2,0,"","TRAINEE",4,2200,5517,"EMPLOYED"
6155,2,0,"","TRAINEE",4,2200,5512,"EMPLOYED"
6156,2,0,"","TRAINEE",4,2200,5519,"DROPPED"
6157,2,0,"","TRAINEE",4,2200,5505,"EMPLOYED"
6158,2,0,"","TRAINEE",4,2200,5508,"EMPLOYED"
6159,2,0,"","TRAINEE",4,2200,5516,"EMPLOYED"
6175,2,0,"","TRAINEE",6,2200,5506,"EMPLOYED"
6176,2,0,"","TRAINEE",6,2200,5503,"EMPLOYED"
6177,2,0,"","TRAINEE",6,2200,5514,"EMPLOYED"
6178,2,0,"","TRAINEE",6,2200,5510,"EMPLOYED"
6179,2,0,"","TRAINEE",6,2200,5504,"EMPLOYED"
6180,2,0,"","TRAINEE",6,2200,5511,"EMPLOYED"
6181,2,0,"","TRAINEE",6,2200,5513,"EMPLOYED"
6182,2,0,"","TRAINEE",6,2200,5507,"EMPLOYED"
6183,2,0,"","TRAINEE",6,2200,5515,"EMPLOYED"
6184,2,0,"","TRAINEE",6,2200,5509,"EMPLOYED"
6185,2,0,"","TRAINEE",6,2200,5517,"EMPLOYED"
6186,2,0,"","TRAINEE",6,2200,5512,"EMPLOYED"
6187,2,0,"","TRAINEE",6,2200,5505,"EMPLOYED"
6188,2,0,"","TRAINEE",6,2200,5508,"EMPLOYED"
6189,2,0,"","TRAINEE",6,2200,5516,"EMPLOYED"
6190,2,0,"","TRAINEE",7,2200,5506,"EMPLOYED"
6191,2,0,"","TRAINEE",7,2200,5503,"EMPLOYED"
6192,2,0,"","TRAINEE",7,2200,5514,"EMPLOYED"
6193,2,0,"","TRAINEE",7,2200,5510,"EMPLOYED"
6194,2,0,"","TRAINEE",7,2200,5504,"EMPLOYED"
6195,2,0,"","TRAINEE",7,2200,5511,"EMPLOYED"
6196,2,0,"","TRAINEE",7,2200,5513,"EMPLOYED"
6197,2,0,"","TRAINEE",7,2200,5507,"EMPLOYED"
6198,2,0,"","TRAINEE",7,2200,5515,"EMPLOYED"
6199,2,0,"","TRAINEE",7,2200,5509,"EMPLOYED"
6200,2,0,"","TRAINEE",7,2200,5517,"EMPLOYED"
6201,2,0,"","TRAINEE",7,2200,5512,"EMPLOYED"
6202,2,0,"","TRAINEE",7,2200,5505,"EMPLOYED"
6203,2,0,"","TRAINEE",7,2200,5508,"EMPLOYED"
6204,2,0,"","TRAINEE",7,2200,5516,"EMPLOYED"
6205,2,0,"","TRAINEE",8,2200,5506,"EMPLOYED"
6206,2,0,"","TRAINEE",8,2200,5503,"EMPLOYED"
6207,2,0,"","TRAINEE",8,2200,5514,"EMPLOYED"
6208,2,0,"","TRAINEE",8,2200,5510,"EMPLOYED"
6209,2,0,"","TRAINEE",8,2200,5504,"EMPLOYED"
6210,2,0,"","TRAINEE",8,2200,5511,"EMPLOYED"
6211,2,0,"","TRAINEE",8,2200,5513,"EMPLOYED"
6212,2,0,"","TRAINEE",8,2200,5507,"EMPLOYED"
6213,2,0,"","TRAINEE",8,2200,5515,"EMPLOYED"
6214,2,0,"","TRAINEE",8,2200,5509,"EMPLOYED"
6215,2,0,"","TRAINEE",8,2200,5517,"EMPLOYED"
6216,2,0,"","TRAINEE",8,2200,5512,"EMPLOYED"
6217,2,0,"","TRAINEE",8,2200,5505,"EMPLOYED"
6218,2,0,"","TRAINEE",8,2200,5508,"EMPLOYED"
6219,2,0,"","TRAINEE",8,2200,5516,"EMPLOYED"
6220,2,0,"","TRAINEE",9,2200,5506,"EMPLOYED"
6221,2,0,"","TRAINEE",9,2200,5503,"EMPLOYED"
6222,2,0,"","TRAINEE",9,2200,5514,"EMPLOYED"
6223,2,0,"","TRAINEE",9,2200,5510,"EMPLOYED"
6224,2,0,"","TRAINEE",9,2200,5504,"EMPLOYED"
6225,2,0,"","TRAINEE",9,2200,5511,"EMPLOYED"
6226,2,0,"","TRAINEE",9,2200,5513,"EMPLOYED"
6227,2,0,"","TRAINEE",9,2200,5507,"EMPLOYED"
6228,2,0,"","TRAINEE",9,2200,5515,"EMPLOYED"
6229,2,0,"","TRAINEE",9,2200,5509,"EMPLOYED"
6144,2,0,"","TRAINEE",4,2200,5506,"EMPLOYED"
6145,2,0,"","TRAINEE",4,2200,5503,"EMPLOYED"
6230,2,0,"","TRAINEE",9,2200,5517,"EMPLOYED"
6231,2,0,"","TRAINEE",9,2200,5512,"EMPLOYED"
6232,2,0,"","TRAINEE",9,2200,5505,"EMPLOYED"
6233,2,0,"","TRAINEE",9,2200,5508,"EMPLOYED"
6234,2,0,"","TRAINEE",9,2200,5516,"EMPLOYED"
6253,2,0,"","TRAINEE",2,2201,5524,"EMPLOYED"
6254,2,0,"","TRAINEE",2,2201,5539,"EMPLOYED"
6255,2,0,"","TRAINEE",2,2201,5525,"EMPLOYED"
6256,2,0,"","TRAINEE",2,2201,5527,"EMPLOYED"
6257,2,0,"","TRAINEE",2,2201,5538,"EMPLOYED"
6258,2,0,"","TRAINEE",2,2201,5532,"EMPLOYED"
6259,2,0,"","TRAINEE",2,2201,5536,"EMPLOYED"
6260,2,0,"","TRAINEE",2,2201,5529,"EMPLOYED"
6261,2,0,"","TRAINEE",2,2201,5522,"DROPPED"
6262,2,0,"","TRAINEE",2,2201,5528,"EMPLOYED"
6263,2,0,"","TRAINEE",2,2201,5526,"EMPLOYED"
6264,2,0,"","TRAINEE",2,2201,5534,"EMPLOYED"
6265,2,0,"","TRAINEE",2,2201,5530,"EMPLOYED"
6266,2,0,"","TRAINEE",2,2201,5531,"TRAINING"
6267,2,0,"","TRAINEE",2,2201,5535,"EMPLOYED"
6268,2,0,"","TRAINEE",2,2201,5521,"DROPPED"
6269,2,0,"","TRAINEE",2,2201,5533,"EMPLOYED"
6270,2,0,"","TRAINEE",2,2201,5537,"EMPLOYED"
6321,2,0,"","TRAINEE",6,2201,5524,"EMPLOYED"
6322,2,0,"","TRAINEE",6,2201,5539,"EMPLOYED"
6323,2,0,"","TRAINEE",6,2201,5525,"EMPLOYED"
6324,2,0,"","TRAINEE",6,2201,5527,"EMPLOYED"
6325,2,0,"","TRAINEE",6,2201,5538,"EMPLOYED"
6326,2,0,"","TRAINEE",6,2201,5532,"EMPLOYED"
6327,2,0,"","TRAINEE",6,2201,5536,"EMPLOYED"
6328,2,0,"","TRAINEE",6,2201,5529,"EMPLOYED"
6329,2,0,"","TRAINEE",6,2201,5528,"EMPLOYED"
6330,2,0,"","TRAINEE",6,2201,5526,"EMPLOYED"
6331,2,0,"","TRAINEE",6,2201,5534,"EMPLOYED"
6332,2,0,"","TRAINEE",6,2201,5530,"EMPLOYED"
6333,2,0,"","TRAINEE",6,2201,5531,"TRAINING"
6334,2,0,"","TRAINEE",6,2201,5535,"EMPLOYED"
6335,2,0,"","TRAINEE",6,2201,5533,"EMPLOYED"
6336,2,0,"","TRAINEE",6,2201,5537,"EMPLOYED"
5079,2,0,"","TRAINEE",4,2050,5357,"DROPPED"
5080,2,0,"","TRAINEE",4,2050,5353,"EMPLOYED"
5081,2,0,"","TRAINEE",4,2050,5350,"EMPLOYED"
5082,2,0,"","TRAINEE",4,2050,5355,"EMPLOYED"
5083,2,0,"","TRAINEE",4,2050,5351,"EMPLOYED"
5092,2,0,"","TRAINEE",6,2050,5352,"EMPLOYED"
5093,2,0,"","TRAINEE",6,2050,5354,"EMPLOYED"
5094,2,0,"","TRAINEE",6,2050,5350,"EMPLOYED"
5077,2,0,"","TRAINEE",4,2050,5354,"EMPLOYED"
5078,2,0,"","TRAINEE",4,2050,5352,"EMPLOYED"
5095,2,0,"","TRAINEE",6,2050,5351,"EMPLOYED"
5096,2,0,"","TRAINEE",6,2050,5355,"EMPLOYED"
5179,2,0,"","TRAINEE",7,2100,5363,"EMPLOYED"
5180,2,0,"","TRAINEE",7,2100,5401,"EMPLOYED"
5181,2,0,"","TRAINEE",7,2100,5361,"EMPLOYED"
5198,2,0,"","TRAINEE",1,2150,5502,"DROPPED"
5199,2,0,"","TRAINEE",1,2150,5460,"EMPLOYED"
5200,2,0,"","TRAINEE",1,2150,5473,"DROPPED"
5216,2,0,"","TRAINEE",2,2150,5460,"EMPLOYED"
5217,2,0,"","TRAINEE",2,2150,5473,"DROPPED"
6160,2,0,"","TRAINEE",5,2200,5506,"EMPLOYED"
6161,2,0,"","TRAINEE",5,2200,5503,"EMPLOYED"
6162,2,0,"","TRAINEE",5,2200,5514,"EMPLOYED"
6163,2,0,"","TRAINEE",5,2200,5510,"EMPLOYED"
6164,2,0,"","TRAINEE",5,2200,5504,"EMPLOYED"
6165,2,0,"","TRAINEE",5,2200,5511,"EMPLOYED"
6166,2,0,"","TRAINEE",5,2200,5513,"EMPLOYED"
6167,2,0,"","TRAINEE",5,2200,5507,"EMPLOYED"
6168,2,0,"","TRAINEE",5,2200,5515,"EMPLOYED"
6169,2,0,"","TRAINEE",5,2200,5509,"EMPLOYED"
6170,2,0,"","TRAINEE",5,2200,5517,"EMPLOYED"
6171,2,0,"","TRAINEE",5,2200,5512,"EMPLOYED"
6172,2,0,"","TRAINEE",5,2200,5505,"EMPLOYED"
6173,2,0,"","TRAINEE",5,2200,5508,"EMPLOYED"
6174,2,0,"","TRAINEE",5,2200,5516,"EMPLOYED"
6289,2,0,"","TRAINEE",4,2201,5524,"EMPLOYED"
6290,2,0,"","TRAINEE",4,2201,5539,"EMPLOYED"
6291,2,0,"","TRAINEE",4,2201,5525,"EMPLOYED"
6292,2,0,"","TRAINEE",4,2201,5527,"EMPLOYED"
6293,2,0,"","TRAINEE",4,2201,5538,"EMPLOYED"
6294,2,0,"","TRAINEE",4,2201,5532,"EMPLOYED"
6295,2,0,"","TRAINEE",4,2201,5536,"EMPLOYED"
6296,2,0,"","TRAINEE",4,2201,5529,"EMPLOYED"
6297,2,0,"","TRAINEE",4,2201,5528,"EMPLOYED"
6298,2,0,"","TRAINEE",4,2201,5526,"EMPLOYED"
6299,2,0,"","TRAINEE",4,2201,5534,"EMPLOYED"
6300,2,0,"","TRAINEE",4,2201,5530,"EMPLOYED"
6301,2,0,"","TRAINEE",4,2201,5531,"TRAINING"
6302,2,0,"","TRAINEE",4,2201,5533,"EMPLOYED"
6303,2,0,"","TRAINEE",4,2201,5537,"EMPLOYED"
6304,2,0,"","TRAINEE",4,2201,5535,"EMPLOYED"
6305,2,0,"","TRAINEE",5,2201,5524,"EMPLOYED"
6306,2,0,"","TRAINEE",5,2201,5539,"EMPLOYED"
6307,2,0,"","TRAINEE",5,2201,5525,"EMPLOYED"
6308,2,0,"","TRAINEE",5,2201,5527,"EMPLOYED"
6309,2,0,"","TRAINEE",5,2201,5538,"EMPLOYED"
6310,2,0,"","TRAINEE",5,2201,5532,"EMPLOYED"
6311,2,0,"","TRAINEE",5,2201,5536,"EMPLOYED"
6312,2,0,"","TRAINEE",5,2201,5529,"EMPLOYED"
6313,2,0,"","TRAINEE",5,2201,5528,"EMPLOYED"
6314,2,0,"","TRAINEE",5,2201,5526,"EMPLOYED"
6315,2,0,"","TRAINEE",5,2201,5534,"EMPLOYED"
6316,2,0,"","TRAINEE",5,2201,5530,"EMPLOYED"
6317,2,0,"","TRAINEE",5,2201,5531,"TRAINING"
6318,2,0,"","TRAINEE",5,2201,5535,"EMPLOYED"
6319,2,0,"","TRAINEE",5,2201,5533,"EMPLOYED"
6320,2,0,"","TRAINEE",5,2201,5537,"EMPLOYED"
6337,2,0,"","TRAINEE",7,2201,5524,"EMPLOYED"
6338,2,0,"","TRAINEE",7,2201,5539,"EMPLOYED"
6339,2,0,"","TRAINEE",7,2201,5525,"EMPLOYED"
6340,2,0,"","TRAINEE",7,2201,5527,"EMPLOYED"
6341,2,0,"","TRAINEE",7,2201,5538,"EMPLOYED"
6342,2,0,"","TRAINEE",7,2201,5532,"EMPLOYED"
6343,2,0,"","TRAINEE",7,2201,5536,"EMPLOYED"
6344,2,0,"","TRAINEE",7,2201,5529,"EMPLOYED"
6345,2,0,"","TRAINEE",7,2201,5528,"EMPLOYED"
6346,2,0,"","TRAINEE",7,2201,5526,"EMPLOYED"
5061,2,0,"","TRAINEE",2,2050,5356,"DROPPED"
5062,2,0,"","TRAINEE",2,2050,5352,"EMPLOYED"
5063,2,0,"","TRAINEE",2,2050,5357,"DROPPED"
5064,2,0,"","TRAINEE",2,2050,5354,"EMPLOYED"
