"BATTERY_ID","BATTERY_STATUS"
281053,"OTHER"
281055,"FAILED"
281056,"OTHER"
281057,"OTHER"
281059,"OTHER"
281060,"OTHER"
281061,"OTHER"
281064,"OTHER"
281065,"OTHER"
281066,"OTHER"
281067,"OTHER"
281068,"OTHER"
281069,"OTHER"
281070,"FAILED"
281071,"OTHER"
281072,"OTHER"
281073,"OTHER"
281074,"OTHER"
281075,"OTHER"
281076,"OTHER"
281078,"OTHER"
281079,"OTHER"
281080,"OTHER"
281082,"OTHER"
281083,"OTHER"
281084,"OTHER"
281085,"OTHER"
281086,"OTHER"
281087,"OTHER"
281088,"OTHER"
281089,"OTHER"
281090,"OTHER"
281091,"OTHER"
281092,"OTHER"
281093,"OTHER"
281094,"OTHER"
281095,"OTHER"
281096,"OTHER"
281097,"OTHER"
281098,"OTHER"
281099,"OTHER"
281100,"OTHER"
281101,"OTHER"
281102,"OTHER"
281103,"OTHER"
281104,"OTHER"
281105,"OTHER"
281106,"OTHER"
281107,"OTHER"
281108,"OTHER"
281109,"OTHER"
281110,"OTHER"
281111,"OTHER"
281112,"OTHER"
281113,"OTHER"
281114,"OTHER"
281115,"OTHER"
281116,"OTHER"
281117,"OTHER"
281118,"OTHER"
281119,"OTHER"
281120,"OTHER"
281121,"OTHER"
281122,"OTHER"
281123,"OTHER"
281124,"OTHER"
281125,"OTHER"
281126,"OTHER"
281127,"OTHER"
281128,"OTHER"
281129,"OTHER"
281130,"OTHER"
281131,"OTHER"
281132,"OTHER"
281133,"OTHER"
281134,"OTHER"
281135,"OTHER"
281136,"OTHER"
281137,"OTHER"
281138,"OTHER"
281139,"OTHER"
281140,"OTHER"
281141,"OTHER"
281142,"OTHER"
281143,"OTHER"
281144,"OTHER"
281145,"OTHER"
281146,"OTHER"
281147,"OTHER"
281148,"OTHER"
281149,"OTHER"
281150,"OTHER"
281151,"OTHER"
281152,"OTHER"
281153,"OTHER"
281154,"OTHER"
281155,"OTHER"
281156,"OTHER"
281157,"OTHER"
281158,"OTHER"
281159,"OTHER"
281160,"OTHER"
281161,"OTHER"
281162,"OTHER"
281163,"OTHER"
281164,"OTHER"
281165,"OTHER"
281166,"OTHER"
281167,"FAILED"
281168,"OTHER"
281170,"OTHER"
281172,"OTHER"
281173,"OTHER"
281213,"OTHER"
281186,"OTHER"
281188,"OTHER"
281189,"OTHER"
281190,"FAILED"
281191,"OTHER"
281192,"OTHER"
281194,"OTHER"
281214,"OTHER"
281196,"OTHER"
281215,"OTHER"
282000,"FAILED"
281199,"OTHER"
281216,"OTHER"
281202,"OTHER"
281203,"OTHER"
281205,"OTHER"
281217,"OTHER"
281219,"OTHER"
281210,"OTHER"
281220,"OTHER"
281212,"OTHER"
281221,"OTHER"
281223,"OTHER"
281224,"FAILED"
281225,"OTHER"
281226,"OTHER"
281227,"OTHER"
281228,"OTHER"
281229,"OTHER"
281230,"OTHER"
281231,"FAILED"
281232,"OTHER"
281234,"OTHER"
282001,"OTHER"
282003,"OTHER"
282004,"OTHER"
282005,"OTHER"
282006,"OTHER"
282007,"FAILED"
282008,"OTHER"
282009,"OTHER"
282010,"FAILED"
282012,"OTHER"
282013,"OTHER"
282014,"FAILED"
282015,"OTHER"
282017,"OTHER"
282019,"FAILED"
282020,"OTHER"
282021,"FAILED"
282022,"OTHER"
282023,"OTHER"
282024,"OTHER"
282025,"OTHER"
282026,"OTHER"
282027,"OTHER"
282028,"FAILED"
282029,"OTHER"
282030,"OTHER"
282031,"FAILED"
282032,"OTHER"
282033,"OTHER"
282034,"FAILED"
282035,"OTHER"
282036,"OTHER"
282037,"FAILED"
282038,"OTHER"
282039,"OTHER"
282040,"OTHER"
282041,"OTHER"
282042,"OTHER"
282043,"FAILED"
282044,"OTHER"
282045,"OTHER"
282046,"OTHER"
282047,"OTHER"
282048,"OTHER"
282049,"OTHER"
282050,"OTHER"
282051,"FAILED"
282052,"OTHER"
282053,"OTHER"
282054,"OTHER"
282055,"FAILED"
282056,"OTHER"
282057,"OTHER"
282058,"OTHER"
282059,"OTHER"
282060,"FAILED"
282061,"OTHER"
282062,"OTHER"
282063,"OTHER"
282064,"OTHER"
282065,"FAILED"
282066,"OTHER"
282067,"FAILED"
282068,"FAILED"
282069,"OTHER"
282070,"FAILED"
282071,"OTHER"
282072,"OTHER"
282073,"OTHER"
282074,"FAILED"
282075,"OTHER"
282076,"OTHER"
282077,"OTHER"
282078,"FAILED"
282079,"OTHER"
282080,"FAILED"
282081,"OTHER"
282088,"OTHER"
282089,"OTHER"
282091,"OTHER"
5500,"FAILED"
5501,"FAILED"
5502,"FAILED"
5503,"PASSED"
5504,"PASSED"
5505,"PASSED"
5506,"PASSED"
5507,"PASSED"
5508,"PASSED"
5509,"PASSED"
5510,"PASSED"
5511,"PASSED"
5512,"PASSED"
5513,"PASSED"
5514,"PASSED"
5515,"PASSED"
5516,"PASSED"
5517,"PASSED"
5518,"FAILED"
5519,"FAILED"
5520,"FAILED"
5521,"FAILED"
5522,"FAILED"
5523,"FAILED"
5524,"PASSED"
5525,"PASSED"
5526,"PASSED"
5527,"PASSED"
5528,"PASSED"
5529,"PASSED"
5530,"PASSED"
5531,"OTHER"
5532,"PASSED"
5533,"PASSED"
5534,"PASSED"
5535,"PASSED"
5536,"PASSED"
5537,"PASSED"
5538,"PASSED"
5539,"PASSED"
5352,"PASSED"
5350,"PASSED"
5351,"PASSED"
5353,"PASSED"
5354,"PASSED"
5355,"PASSED"
5356,"FAILED"
5357,"FAILED"
5358,"FAILED"
5359,"FAILED"
5360,"PASSED"
5361,"PASSED"
5362,"PASSED"
5363,"PASSED"
5540,"OTHER"
282093,"OTHER"
282094,"OTHER"
282095,"OTHER"
282096,"OTHER"
282098,"OTHER"
282099,"OTHER"
283001,"OTHER"
283002,"OTHER"
283005,"OTHER"
283006,"OTHER"
283007,"OTHER"
283009,"OTHER"
283010,"OTHER"
283011,"OTHER"
283012,"OTHER"
283016,"OTHER"
283017,"OTHER"
283019,"OTHER"
283021,"OTHER"
283026,"OTHER"
283027,"OTHER"
283029,"OTHER"
283030,"OTHER"
283036,"FAILED"
283037,"OTHER"
283039,"OTHER"
283041,"OTHER"
283046,"OTHER"
283047,"OTHER"
284000,"OTHER"
284004,"OTHER"
284005,"OTHER"
284007,"OTHER"
284008,"OTHER"
284010,"FAILED"
284009,"OTHER"
284016,"FAILED"
284017,"FAILED"
284018,"OTHER"
284020,"OTHER"
284028,"FAILED"
284032,"OTHER"
282016,"OTHER"
282011,"OTHER"
282002,"OTHER"
282018,"OTHER"
284033,"FAILED"
284034,"OTHER"
284040,"OTHER"
284046,"OTHER"
284049,"OTHER"
285000,"FAILED"
285002,"OTHER"
285006,"OTHER"
285007,"FAILED"
285008,"FAILED"
285009,"OTHER"
285010,"OTHER"
285019,"OTHER"
285022,"OTHER"
285023,"OTHER"
285024,"OTHER"
285027,"OTHER"
285030,"OTHER"
285032,"OTHER"
285035,"OTHER"
285033,"OTHER"
291014,"OTHER"
291019,"OTHER"
291020,"OTHER"
291021,"OTHER"
291022,"OTHER"
291023,"OTHER"
291026,"OTHER"
291027,"OTHER"
291028,"FAILED"
291032,"OTHER"
291033,"FAILED"
291035,"OTHER"
291036,"OTHER"
291038,"OTHER"
291039,"OTHER"
291040,"OTHER"
291041,"OTHER"
291042,"OTHER"
287038,"OTHER"
287025,"OTHER"
287006,"OTHER"
291044,"OTHER"
291047,"OTHER"
291049,"OTHER"
292003,"OTHER"
292004,"OTHER"
292006,"OTHER"
292007,"OTHER"
292008,"OTHER"
292009,"OTHER"
292011,"OTHER"
292014,"OTHER"
292016,"OTHER"
292018,"OTHER"
292019,"OTHER"
292020,"OTHER"
292026,"OTHER"
292028,"FAILED"
292038,"OTHER"
292042,"OTHER"
292043,"FAILED"
292044,"OTHER"
292045,"OTHER"
292047,"FAILED"
292048,"OTHER"
292049,"OTHER"
292050,"FAILED"
292055,"OTHER"
292057,"OTHER"
292058,"OTHER"
292059,"OTHER"
292061,"OTHER"
292065,"OTHER"
292067,"OTHER"
292070,"OTHER"
292071,"OTHER"
292072,"OTHER"
292075,"OTHER"
292076,"SOLD"
292077,"OTHER"
292081,"OTHER"
292082,"OTHER"
292083,"OTHER"
292084,"OTHER"
292085,"OTHER"
292086,"OTHER"
292087,"OTHER"
292091,"OTHER"
292094,"OTHER"
292097,"OTHER"
293000,"OTHER"
293002,"OTHER"
293006,"OTHER"
293007,"OTHER"
293009,"OTHER"
293010,"OTHER"
293012,"OTHER"
293013,"OTHER"
293014,"OTHER"
293018,"OTHER"
293019,"OTHER"
293020,"OTHER"
293025,"OTHER"
293029,"OTHER"
293030,"OTHER"
293031,"FAILED"
293032,"FAILED"
293033,"FAILED"
293036,"OTHER"
293041,"OTHER"
293042,"OTHER"
293043,"OTHER"
293044,"OTHER"
293045,"OTHER"
293046,"OTHER"
293049,"OTHER"
294003,"OTHER"
294005,"OTHER"
294006,"OTHER"
294007,"OTHER"
294014,"OTHER"
294018,"OTHER"
294020,"OTHER"
294022,"OTHER"
294024,"OTHER"
294026,"OTHER"
294027,"OTHER"
294028,"OTHER"
294029,"OTHER"
294033,"OTHER"
294035,"OTHER"
294036,"OTHER"
294038,"OTHER"
294039,"OTHER"
294040,"OTHER"
294041,"OTHER"
294042,"OTHER"
294043,"FAILED"
294044,"OTHER"
285036,"OTHER"
285037,"OTHER"
285038,"OTHER"
285039,"OTHER"
285040,"OTHER"
285041,"OTHER"
285042,"OTHER"
285043,"OTHER"
285044,"OTHER"
285045,"OTHER"
285046,"OTHER"
285047,"OTHER"
285048,"OTHER"
285049,"OTHER"
286000,"OTHER"
286001,"OTHER"
286002,"OTHER"
286003,"OTHER"
286004,"OTHER"
286005,"OTHER"
286006,"OTHER"
286030,"OTHER"
286031,"OTHER"
286028,"OTHER"
286029,"OTHER"
286033,"OTHER"
286038,"OTHER"
286039,"OTHER"
286043,"OTHER"
286045,"OTHER"
286047,"OTHER"
286060,"OTHER"
286062,"OTHER"
286064,"OTHER"
286069,"OTHER"
286071,"OTHER"
286075,"OTHER"
286076,"OTHER"
286077,"OTHER"
286078,"OTHER"
286079,"OTHER"
286080,"OTHER"
286081,"OTHER"
286082,"OTHER"
286083,"OTHER"
286084,"OTHER"
286086,"OTHER"
286087,"OTHER"
286088,"OTHER"
286089,"OTHER"
286090,"OTHER"
286091,"OTHER"
286092,"OTHER"
286093,"OTHER"
286094,"OTHER"
286096,"OTHER"
286097,"OTHER"
286098,"OTHER"
286099,"OTHER"
286100,"OTHER"
286101,"OTHER"
286102,"OTHER"
286104,"OTHER"
286105,"SHIPPED"
286106,"SHIPPED"
286107,"SHIPPED"
286108,"SHIPPED"
286109,"SHIPPED"
286110,"SHIPPED"
286111,"SHIPPED"
286112,"SHIPPED"
286113,"SHIPPED"
286114,"SHIPPED"
286115,"SHIPPED"
286116,"SHIPPED"
286117,"SHIPPED"
286118,"SHIPPED"
286120,"OTHER"
286121,"OTHER"
286124,"OTHER"
286125,"OTHER"
286127,"OTHER"
286131,"OTHER"
286134,"OTHER"
286135,"OTHER"
286136,"OTHER"
286137,"OTHER"
286138,"OTHER"
286139,"OTHER"
286141,"OTHER"
286145,"OTHER"
286147,"OTHER"
286148,"OTHER"
287004,"FAILED"
287008,"OTHER"
287016,"OTHER"
287018,"OTHER"
287021,"OTHER"
287023,"OTHER"
287024,"OTHER"
287026,"FAILED"
287028,"OTHER"
287031,"OTHER"
287032,"OTHER"
287033,"OTHER"
287034,"OTHER"
287035,"OTHER"
287039,"OTHER"
287040,"FAILED"
287042,"OTHER"
287044,"OTHER"
288013,"OTHER"
288012,"OTHER"
288017,"OTHER"
288015,"OTHER"
288020,"OTHER"
288018,"OTHER"
288021,"OTHER"
288023,"OTHER"
288024,"OTHER"
288025,"OTHER"
288026,"OTHER"
288027,"OTHER"
288031,"OTHER"
288032,"FAILED"
288033,"OTHER"
288035,"OTHER"
288036,"OTHER"
288041,"FAILED"
288042,"OTHER"
288043,"OTHER"
288044,"OTHER"
288045,"FAILED"
288046,"OTHER"
288048,"OTHER"
288049,"OTHER"
289000,"OTHER"
289001,"FAILED"
289002,"FAILED"
289004,"OTHER"
289006,"OTHER"
289007,"OTHER"
289008,"OTHER"
289009,"OTHER"
289011,"OTHER"
289017,"FAILED"
289019,"OTHER"
289021,"OTHER"
289022,"OTHER"
289023,"OTHER"
289024,"FAILED"
289026,"OTHER"
289031,"OTHER"
289034,"OTHER"
289035,"OTHER"
289041,"OTHER"
289042,"OTHER"
289045,"OTHER"
290003,"FAILED"
290006,"OTHER"
290009,"OTHER"
290010,"FAILED"
290011,"OTHER"
290013,"OTHER"
290016,"OTHER"
290023,"OTHER"
290026,"OTHER"
290030,"FAILED"
290036,"OTHER"
290037,"OTHER"
290038,"OTHER"
290040,"OTHER"
290041,"OTHER"
290042,"OTHER"
290043,"OTHER"
290044,"OTHER"
290045,"OTHER"
290046,"OTHER"
290078,"FAILED"
290080,"OTHER"
290081,"OTHER"
290082,"FAILED"
290083,"OTHER"
290084,"OTHER"
290085,"OTHER"
290086,"OTHER"
290087,"OTHER"
290088,"OTHER"
290090,"FAILED"
290091,"OTHER"
290077,"OTHER"
290093,"FAILED"
290099,"FAILED"
291000,"OTHER"
291001,"FAILED"
291002,"OTHER"
291005,"OTHER"
291006,"OTHER"
291008,"OTHER"
291009,"OTHER"
291010,"OTHER"
291013,"OTHER"
294045,"OTHER"
294046,"OTHER"
294047,"OTHER"
294048,"OTHER"
294049,"OTHER"
295000,"OTHER"
295003,"FAILED"
295009,"FAILED"
295012,"OTHER"
295014,"OTHER"
295016,"OTHER"
295017,"FAILED"
295023,"OTHER"
295027,"FAILED"
295035,"OTHER"
295038,"OTHER"
295042,"OTHER"
295043,"FAILED"
295047,"OTHER"
295045,"OTHER"
295048,"OTHER"
295049,"OTHER"
296001,"OTHER"
296002,"OTHER"
296003,"OTHER"
296005,"FAILED"
296006,"FAILED"
296007,"OTHER"
296010,"OTHER"
296011,"FAILED"
296014,"OTHER"
297002,"FAILED"
297004,"PASSED"
297003,"OTHER"
297005,"FAILED"
297008,"FAILED"
297011,"OTHER"
297012,"OTHER"
297013,"OTHER"
297017,"OTHER"
297022,"OTHER"
297023,"OTHER"
297025,"PASSED"
297028,"OTHER"
297029,"OTHER"
297035,"FAILED"
297037,"PASSED"
297039,"OTHER"
297041,"PASSED"
297042,"FAILED"
297043,"FAILED"
297044,"OTHER"
297045,"PASSED"
297048,"PASSED"
297050,"PASSED"
297053,"OTHER"
297054,"OTHER"
297055,"OTHER"
297061,"FAILED"
297063,"FAILED"
297064,"PASSED"
297068,"FAILED"
297071,"OTHER"
297073,"PASSED"
297074,"OTHER"
297077,"PASSED"
297078,"OTHER"
297080,"FAILED"
297082,"FAILED"
297083,"OTHER"
297086,"PASSED"
297089,"PASSED"
297090,"PASSED"
299005,"PASSED"
299008,"PASSED"
299009,"OTHER"
299010,"SHIPPED"
299012,"PASSED"
299018,"FAILED"
299019,"PASSED"
299020,"PASSED"
299021,"STORE"
299025,"OTHER"
299026,"OTHER"
299028,"OTHER"
299030,"PASSED"
299032,"PASSED"
299036,"FAILED"
